Age,WorkClass,education,marritalStatus,Race,Gender,workhours,Incomebracket
0_29,' Private',' 11th',' Never-married',' Black',' Male',22_40,' <=50K.'
0_29,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Female',61_79,' >50K.'
30_41,' Private',' Some-college',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
0_29,' Private',' Assoc-voc',' Never-married',' White',' Male',61_79,' >50K.'
42_54,' Self-emp-not-inc',' Doctorate',' Divorced',' White',' Male',61_79,' >50K.'
55_66,' Self-emp-not-inc',' Bachelors',' Divorced',' White',' Male',61_79,' >50K.'
30_41,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
42_54,' Self-emp-inc',' Bachelors',' Never-married',' White',' Female',41_60,' >50K.'
42_54,' Private',' Some-college',' Separated',' White',' Male',41_60,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' White',' Female',41_60,' >50K.'
30_41,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
0_29,' Private',' Prof-school',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Self-emp-inc',' Some-college',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Local-gov',' Doctorate',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
67_78,' Private',' Assoc-voc',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
42_54,' Private',' Bachelors',' Never-married',' White',' Female',22_40,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
55_66,' Private',' Bachelors',' Divorced',' White',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Divorced',' White',' Male',22_40,' >50K.'
42_54,' Private',' Assoc-acdm',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
42_54,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
55_66,' Private',' HS-grad',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
42_54,' Self-emp-not-inc',' Assoc-acdm',' Married-civ-spouse',' White',' Female',22_40,' >50K.'
42_54,' Self-emp-inc',' Some-college',' Married-civ-spouse',' White',' Female',61_79,' >50K.'
30_41,' Private',' Doctorate',' Married-spouse-absent',' Asian-Pac-Islander',' Male',61_79,' >50K.'
42_54,' Private',' HS-grad',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',61_79,' >50K.'
42_54,' Private',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',41_60,' >50K.'
55_66,' Self-emp-inc',' 5th-6th',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
55_66,' Federal-gov',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
55_66,' Private',' Masters',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Doctorate',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
55_66,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' HS-grad',' Married-civ-spouse',' Asian-Pac-Islander',' Female',22_40,' >50K.'
30_41,' Private',' Masters',' Never-married',' Asian-Pac-Islander',' Female',22_40,' >50K.'
30_41,' Private',' Some-college',' Married-spouse-absent',' Asian-Pac-Islander',' Female',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' Asian-Pac-Islander',' Male',22_40,' >50K.'
30_41,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',80_max,' >50K.'
55_66,' Private',' Prof-school',' Married-civ-spouse',' White',' Male',41_60,' >50K.'
67_78,' Private',' Masters',' Divorced',' White',' Male',61_79,' >50K.'
42_54,' Private',' Some-college',' Married-civ-spouse',' White',' Male',61_79,' >50K.'
0_29,' Private',' Bachelors',' Married-civ-spouse',' White',' Female',41_60,' >50K.'
42_54,' Private',' Assoc-voc',' Divorced',' White',' Male',22_40,' >50K.'
42_54,' Private',' Bachelors',' Married-civ-spouse',' White',' Male',22_40,' >50K.'
