@relation proj2master-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R1-precision6

@attribute Age {'\'(-inf-29.166667]\'','\'(29.166667-41.333333]\'','\'(41.333333-53.5]\'','\'(53.5-65.666667]\'','\'(65.666667-77.833333]\'','\'(77.833333-inf)\''}
@attribute WorkClass {' Private',' Self-emp-not-inc',' Self-emp-inc',' Local-gov',' Federal-gov',' State-gov',' Without-pay'}
@attribute education {' 11th',' Bachelors',' Some-college',' Assoc-voc',' Doctorate',' Masters',' HS-grad',' Prof-school',' Assoc-acdm',' 5th-6th',' 9th',' 7th-8th',' 1st-4th',' 10th',' 12th',' Preschool'}
@attribute marritalStatus {' Never-married',' Married-civ-spouse',' Divorced',' Separated',' Married-spouse-absent',' Married-AF-spouse',' Widowed'}
@attribute Job {' Machine-op-inspct',' Sales',' Craft-repair',' Prof-specialty',' Exec-managerial',' Adm-clerical',' Tech-support',' Other-service',' Protective-serv',' Transport-moving',' Handlers-cleaners',' Farming-fishing',' Armed-Forces',' Priv-house-serv'}
@attribute Relationship {' Own-child',' Not-in-family',' Husband',' Unmarried',' Wife',' Other-relative'}
@attribute Race {' Black',' Asian-Pac-Islander',' White',' Other',' Amer-Indian-Eskimo'}
@attribute Gender {' Male',' Female'}
@attribute workhours numeric
@attribute CountryOrigin {' United-States',' Cambodia',' Canada',' China',' Columbia',' Cuba',' Dominican-Republic',' Ecuador',' El-Salvador',' England',' France',' Germany',' Greece',' Haiti',' Honduras',' Hong',' Hungary',' India',' Iran',' Ireland',' Italy',' Jamaica',' Japan',' Mexico',' Nicaragua',' Outlying-US(Guam-USVI-etc)',' Peru',' Philippines',' Poland',' Portugal',' Puerto-Rico',' South',' Taiwan',' Thailand',' Vietnam',' Yugoslavia',' Guatemala',' Laos',' Scotland',' Trinadad&Tobago'}
@attribute Incomebracket {' <=50K.',' >50K.'}

@data
'\'(-inf-29.166667]\'',' Private',' 11th',' Never-married',' Machine-op-inspct',' Own-child',' Black',' Male',40,' United-States',' <=50K.'
'\'(-inf-29.166667]\'',' Private',' Bachelors',' Married-civ-spouse',' Sales',' Not-in-family',' Asian-Pac-Islander',' Female',75,' Cambodia',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' Asian-Pac-Islander',' Male',40,' Cambodia',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Assoc-voc',' Never-married',' Sales',' Not-in-family',' White',' Male',65,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Doctorate',' Divorced',' Prof-specialty',' Unmarried',' White',' Male',63,' Canada',' >50K.'
'\'(53.5-65.666667]\'',' Self-emp-not-inc',' Bachelors',' Divorced',' Sales',' Not-in-family',' White',' Male',60,' Canada',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',60,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',55,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Separated',' Prof-specialty',' Not-in-family',' White',' Male',50,' Canada',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',50,' Canada',' >50K.'
'\'(29.166667-41.333333]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',50,' Canada',' >50K.'
'\'(-inf-29.166667]\'',' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',50,' Canada',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',50,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',48,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Local-gov',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',45,' Canada',' >50K.'
'\'(65.666667-77.833333]\'',' Private',' Assoc-voc',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',45,' Canada',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' Bachelors',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',45,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Never-married',' Tech-support',' Not-in-family',' White',' Female',40,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',40,' Canada',' >50K.'
'\'(53.5-65.666667]\'',' Private',' Bachelors',' Divorced',' Prof-specialty',' Unmarried',' White',' Male',40,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',40,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Private',' Assoc-acdm',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Canada',' >50K.'
'\'(29.166667-41.333333]\'',' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',40,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',40,' Canada',' >50K.'
'\'(53.5-65.666667]\'',' Private',' HS-grad',' Married-civ-spouse',' Sales',' Wife',' White',' Female',40,' Canada',' >50K.'
'\'(41.333333-53.5]\'',' Self-emp-not-inc',' Assoc-acdm',' Married-civ-spouse',' Prof-specialty',' Wife',' White',' Female',30,' Canada',' >50K.'
